Rank,Geographic Area,2019
495,"Maple Grove, Minnesota","72,622"
496,"Pittsburg, California","72,588"
497,"New Britain, Connecticut","72,495"
498,"Jacksonville, North Carolina","72,436"
499,"Mansfield, Texas","72,419"
500,"Waukesha, Wisconsin","72,299"
501,"Frederick, Maryland","72,244"
502,"Albany, Georgia","72,130"
503,"Pawtucket, Rhode Island","72,117"
504,"Redmond, Washington","71,929"
505,"Lauderhill, Florida","71,868"
506,"Lafayette, Indiana","71,721"
507,"Gulfport, Mississippi","71,705"
508,"Redlands, California","71,513"
509,"Weston, Florida","71,166"
510,"St. Charles, Missouri","71,028"
511,"Decatur, Illinois","70,746"
512,"North Port, Florida","70,724"
513,"North Richland Hills, Texas","70,670"
514,"Greenville, South Carolina","70,635"
515,"Bowling Green, Kentucky","70,543"
516,"Broomfield, Colorado","70,465"
517,"Canton, Ohio","70,447"
518,"Marysville, Washington","70,298"
519,"Walnut Creek, California","70,166"
519,"Wilmington, Delaware","70,166"
521,"Camarillo, California","69,888"
522,"Lynwood, California","69,887"
523,"Lehi, Utah","69,724"
524,"Passaic, New Jersey","69,703"
525,"Homestead, Florida","69,523"
526,"Delray Beach, Florida","69,451"
527,"Davis, California","69,413"
528,"Lake Elsinore, California","69,283"
529,"Daytona Beach, Florida","69,186"
530,"Dothan, Alabama","68,941"
531,"Rocklin, California","68,823"
532,"Eau Claire, Wisconsin","68,802"
533,"Rogers, Arkansas","68,669"
534,"Castle Rock town, Colorado","68,484"
535,"St. Cloud, Minnesota","68,462"
536,"Bossier City, Louisiana","68,159"
537,"Rockville, Maryland","68,079"
538,"Muncie, Indiana","67,999"
539,"Gaithersburg, Maryland","67,985"
540,"Union City, New Jersey","67,982"
541,"West Des Moines, Iowa","67,899"
542,"South San Francisco, California","67,789"
543,"Yorba Linda, California","67,644"
544,"Conway, Arkansas","67,638"
545,"Lodi, California","67,586"
546,"Palatine village, Illinois","67,482"
547,"Ankeny, Iowa","67,355"
548,"Mount Vernon, New York","67,345"
549,"Rowlett, Texas","67,339"
550,"Waterloo, Iowa","67,328"
551,"Lakeville, Minnesota","67,317"
552,"Alpharetta, Georgia","67,213"
553,"Jackson, Tennessee","67,191"
554,"Yuba City, California","67,010"
555,"Oshkosh, Wisconsin","67,004"
556,"Victoria, Texas","66,916"
557,"Johnson City, Tennessee","66,906"
558,"Redondo Beach, California","66,749"
559,"Tamarac, Florida","66,721"
560,"Laguna Niguel, California","66,385"
561,"Eagan, Minnesota","66,372"
562,"Kenner, Louisiana","66,340"
563,"Auburn, Alabama","66,259"
564,"Ames, Iowa","66,258"
565,"Portland, Maine","66,215"
566,"North Little Rock, Arkansas","65,903"
567,"Sammamish, Washington","65,892"
568,"Madera, California","65,860"
569,"Shawnee, Kansas","65,807"
570,"Jupiter town, Florida","65,791"
571,"Doral, Florida","65,741"
572,"Blaine, Minnesota","65,607"
573,"Tulare, California","65,496"
574,"Youngstown, Ohio","65,469"
575,"Wellington village, Florida","65,398"
576,"Pflugerville, Texas","65,380"
577,"Palo Alto, California","65,364"
578,"Schenectady, New York","65,273"
579,"Harlingen, Texas","65,022"
580,"Bayonne, New Jersey","64,897"
581,"Eden Prairie, Minnesota","64,893"
582,"Port Orange, Florida","64,842"
583,"Dublin, California","64,826"
584,"San Marcos, Texas","64,776"
585,"Noblesville, Indiana","64,668"
586,"Santa Cruz, California","64,608"
587,"Janesville, Wisconsin","64,575"
588,"San Clemente, California","64,558"
589,"Brentwood, California","64,474"
590,"East Orange, New Jersey","64,367"
591,"Cheyenne, Wyoming","64,235"
592,"Eastvale, California","64,157"
